"acceptedTaxonKey"	"acceptedScientificName"	"Classification"	"Description"	"n_climate"	"n_totaal"	"perc_climate"	"geometry"	"scenario"
2730127	"Eriophorum angustifolium"	"Cfa"	"Humid subtropical climate"	162	554226	0.000292299531238159	"c(2.5717, 42.53719)"	"2076-2100-A1FI"
2889173	"Reynoutria japonica"	"Csa"	"Hot-summer Mediterranean climate"	83	293759	0.000282544534805742	"c(-117.885832, 33.879439)"	"2076-2100-A1FI"
2730127	"Eriophorum angustifolium"	"Csa"	"Hot-summer Mediterranean climate"	8	554226	1.44345447525017e-05	"c(-5.01, 40.32)"	"2076-2100-A1FI"
2687932	"Equisetum palustre"	"Cfa"	"Humid subtropical climate"	1332	535514	0.00248732992974974	"c(139.67033, 35.8024)"	"2071-2100_Beck"
2687932	"Equisetum palustre"	"Cfb"	"Temperate oceanic climate"	446118	535514	0.833065055255325	"c(1.98359, 41.7311)"	"2071-2100_Beck"
2724609	"Carex panicea"	"Cfb"	"Temperate oceanic climate"	477170	575248	0.829503101271104	"c(-72.96833, 41.27388)"	"2071-2100_Beck"
3103791	"Matricaria discoidea"	"Cfb"	"Temperate oceanic climate"	218078	283263	0.769878169757434	"c(147.32, -42.9)"	"2071-2100_Beck"
3103791	"Matricaria discoidea"	"Cfa"	"Humid subtropical climate"	2258	283263	0.00797139054518239	"c(-94.166847, 37.082497)"	"2071-2100_Beck"
6391648	"Persicaria amphibia"	"Cfa"	"Humid subtropical climate"	857	281143	0.00304827080880548	"c(30.875, -29.875)"	"2071-2100_Beck"
6391648	"Persicaria amphibia"	"Cfb"	"Temperate oceanic climate"	258113	281143	0.918084391217281	"c(-72.74944, 41.42444)"	"2071-2100_Beck"
2724609	"Carex panicea"	"Cfa"	"Humid subtropical climate"	612	575248	0.00106388896615025	"c(-73.05638, 41.22222)"	"2071-2100_Beck"
2687932	"Equisetum palustre"	"Cfb"	"Temperate oceanic climate"	446118	535514	0.833065055255325	"c(1.98359, 41.7311)"	"2001-2025-A1FI"
2724609	"Carex panicea"	"Cfb"	"Temperate oceanic climate"	477170	575248	0.829503101271104	"c(-72.96833, 41.27388)"	"2001-2025-A1FI"
3103791	"Matricaria discoidea"	"Cfb"	"Temperate oceanic climate"	218078	283263	0.769878169757434	"c(147.32, -42.9)"	"2001-2025-A1FI"
6391648	"Persicaria amphibia"	"Cfb"	"Temperate oceanic climate"	258113	281143	0.918084391217281	"c(-72.74944, 41.42444)"	"2001-2025-A1FI"
2687932	"Equisetum palustre"	"Cfb"	"Temperate oceanic climate"	446118	535514	0.833065055255325	"c(1.98359, 41.7311)"	"2026-2050-A1FI"
2724609	"Carex panicea"	"Cfb"	"Temperate oceanic climate"	477170	575248	0.829503101271104	"c(-72.96833, 41.27388)"	"2026-2050-A1FI"
3103791	"Matricaria discoidea"	"Cfb"	"Temperate oceanic climate"	218078	283263	0.769878169757434	"c(147.32, -42.9)"	"2026-2050-A1FI"
6391648	"Persicaria amphibia"	"Cfb"	"Temperate oceanic climate"	258113	281143	0.918084391217281	"c(-72.74944, 41.42444)"	"2026-2050-A1FI"
2687932	"Equisetum palustre"	"Cfa"	"Humid subtropical climate"	1332	535514	0.00248732992974974	"c(139.67033, 35.8024)"	"2051-2075-A1FI"
