;;;VLAANDEREN;aBS;;;;;;;aZS;;;;;;DS;;;
Lemna minuta;water;Lemna minuta;Present;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Present
Lemna turionifera;water;Lemna turionifera;Sporadic;Present;Absent;Absent;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Absent;Sporadic;Absent;Sporadic;Sporadic;Absent;Absent
Ludwigia grandiflora;water;Ludwigia grandiflora;Present;Present;Present;Sporadic;Absent;Sporadic;Sporadic;Absent;Present;Present;Present;Absent;Absent;Absent;Absent;Absent;Absent;Present
Ludwigia peploides;water;Ludwigia peploides;Present;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Present;Present;Present
Mahonia aquifolium;oever;Mahonia aquifolium;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Present;Sporadic;Present;Sporadic;Sporadic;Present;Present;Sporadic;Present
Myriophyllum aquaticum;water;Myriophyllum aquaticum;Present;Present;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Present;Absent;Sporadic;Absent;Sporadic;Sporadic;Present
Myriophyllum heterophyllum;water;Myriophyllum heterophyllum;Present;Present;Absent;Present;Absent;Absent;Sporadic;Absent;Absent;Present;Present;Absent;Present;Present;Present;Sporadic;Absent;Present
Myriophyllum rubricaule;water;Myriophyllum rubricaule;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Sporadic
Parthenocissus inserta;oever;Parthenocissus inserta;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic
Parthenocissus quinquefolia;oever;Parthenocissus quinquefolia;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Present;Present;Sporadic;Sporadic
Parthenocissus tricuspidata;oever;Parthenocissus tricuspidata;Present;Absent;Sporadic;Absent;Absent;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Absent;Absent;Absent;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
Pistia stratiotes;water;Pistia stratiotes;Present;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Sporadic;Sporadic;Sporadic
Pontederia crassipes;water;Pontederia crassipes;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Sporadic
Prunus laurocerasus;oever;Prunus laurocerasus;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Present;Present;Present;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic
Prunus serotina;oever;Prunus serotina;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
Reynoutria bohemica;oever;Reynoutria bohemica;Present;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic
Reynoutria japonica;oever;Reynoutria japonica;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Absent;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present
Reynoutria sachalinensis;oever;Reynoutria sachalinensis;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
Rhus typhina;oever;Rhus typhina;Present;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Present;Present;Present;Present;Sporadic;Sporadic;Sporadic
Robinia pseudoacacia;oever;Robinia pseudoacacia;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
Rosa rugosa;oever;Rosa rugosa;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Present;Sporadic;Sporadic
