"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA," 2",NA," 1",NA," 1"," 1",NA," 1"," 7"," 4"," 3"," 3","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA,NA," 1",NA,NA," 4",NA,NA,NA,"Sporadic"
"Prunus laurocerasus",NA,NA,NA,NA,NA,NA," 3",NA,NA,NA," 8"," 6"," 6","Sporadic"
"Rosa rugosa",NA,NA,NA,NA,NA,NA," 1"," 1"," 1"," 4"," 6","24","24","Present"
"Pistia stratiotes",NA,NA,NA,NA,NA,NA,NA," 9",NA,NA,NA,NA,NA,"Sporadic"
"Solidago gigantea",NA," 1",NA," 1",NA," 3"," 3",NA," 3"," 4"," 9"," 4"," 4","Sporadic"
"Rubus armeniacus",NA,NA,NA,NA,NA,NA,NA,NA," 3",NA,NA," 1"," 1","Sporadic"
"Robinia pseudoacacia",NA," 1"," 3"," 6"," 3"," 7","12","11","17"," 8","11","35","35","Present"
"Acer negundo",NA,NA,NA,NA,NA,NA,NA,NA," 2",NA," 4"," 2"," 2","Sporadic"
"Ailanthus altissima",NA,NA,NA,NA,NA,NA,NA," 2",NA,NA," 1"," 1"," 1","Sporadic"
"Asclepias syriaca",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Azolla filiculoides",NA," 3"," 2"," 3"," 5"," 4","11"," 5"," 7"," 1"," 6"," 8"," 8","Present"
"Elaeagnus angustifolia",NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Elodea canadensis",NA,NA,NA,NA,NA,NA," 4",NA," 1",NA,NA,NA,NA,"Sporadic"
"Elodea nuttallii"," 2"," 2"," 1"," 1"," 1"," 2","10"," 5","11"," 2"," 3"," 2"," 2","Present"
"Fallopia baldschuanica",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA," 1"," 1"," 1","Sporadic"
"Helianthus tuberosus",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA," 1",NA,NA,"Sporadic"
"Helianthus laetiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Heracleum mantegazzianum","1","1","5","8","2","4","4","4","1","3","3","9","9","Present"
"Hydrocotyle ranunculoides",NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA," 1"," 1","Sporadic"
"Impatiens glandulifera"," 2"," 4"," 1"," 3"," 1"," 4"," 6"," 3"," 5","11","11","27","27","Present"
"Koenigia polystachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1","Present"
"Laburnum anagyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1","Present"
"Lemna minuta",NA," 3"," 2"," 1"," 1"," 4"," 5"," 2"," 3"," 3"," 9"," 2"," 2","Present"
"Reynoutria japonica"," 6"," 6"," 5"," 9"," 4"," 9","15","19","39","16","30","38","38","Present"
"Prunus serotina"," 4"," 8"," 7"," 8"," 5","18","19","25","25","19","38","72","72","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA," 3"," 1"," 1","Sporadic"
"Mahonia aquifolium",NA,NA," 1",NA,NA," 2"," 2"," 1"," 1"," 1"," 4"," 8"," 8","Sporadic"
"Parthenocissus inserta",NA,NA," 1",NA,NA,NA," 1"," 1",NA," 2"," 2"," 1"," 1","Sporadic"
"Spiraea douglasii",NA,NA,NA,NA," 1"," 1"," 3",NA,NA," 2"," 1",NA,NA,"Sporadic"
"Reynoutria bohemica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2",NA,NA,"Present"
"Myriophyllum heterophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2"," 3"," 3","Present"
"Ludwigia grandiflora"," 1"," 2"," 2"," 3"," 2"," 3"," 7","12"," 9"," 4","12","12","12","Present"
"Reynoutria sachalinensis",NA,NA,NA," 1",NA,NA,NA," 1",NA,NA,NA,NA,NA,"Sporadic"
"Solidago canadensis",NA,NA,NA," 2"," 1"," 2"," 1"," 1"," 2"," 3"," 3"," 4"," 4","Present"
"Myriophyllum aquaticum",NA,NA," 2"," 1"," 1",NA," 2",NA," 2",NA," 7"," 2"," 2","Sporadic"
