Rhus typhina
Parthenocissus quinquefolia
Prunus laurocerasus
Rosa rugosa
Pistia stratiotes
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Asclepias syriaca
Azolla filiculoides
Elaeagnus angustifolia
Elodea canadensis
Elodea nuttallii
Fallopia baldschuanica
Helianthus tuberosus
Helianthus laetiflorus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens glandulifera
Koenigia polystachya
Laburnum anagyroides
Lemna minuta
Reynoutria japonica
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Spiraea douglasii
Reynoutria bohemica
Myriophyllum heterophyllum
Ludwigia grandiflora
Reynoutria sachalinensis
Solidago canadensis
Myriophyllum aquaticum
