District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Parthenocissus tricuspidata;3039209;304;3;0,00986842105263158;1;0,0180722891566265;1,81
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Pistia stratiotes;2870583;43;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Prunus laurocerasus;3021496;2255;33;0,0146341463414634;1,5;0,198795180722892;19,88
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Prunus serotina;3021850;6032;78;0,0129310344827586;1,3;0,469879518072289;46,99
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Reynoutria japonica;2889173;5136;127;0,0247274143302181;2,5;0,765060240963855;76,51
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Reynoutria sachalinensis;2889088;129;5;0,0387596899224806;3,9;0,0301204819277108;3,01
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Reynoutria bohemica;4038485;140;1;0,00714285714285714;0,7;0,00602409638554217;0,6
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Rhus typhina;3190538;742;11;0,0148247978436658;1,5;0,0662650602409639;6,63
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Robinia pseudoacacia;5352251;4017;81;0,0201643017176998;2;0,487951807228916;48,8
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Rosa rugosa;3003979;1761;41;0,02328222600795;2,3;0,246987951807229;24,7
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Rubus armeniacus;2996525;227;10;0,0440528634361234;4,4;0,0602409638554217;6,02
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Rudbeckia laciniata;3114229;72;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Solidago canadensis;5389029;948;15;0,0158227848101266;1,6;0,0903614457831325;9,04
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Solidago gigantea;5389017;3240;70;0,0216049382716049;2,2;0,421686746987952;42,17
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Spiraea alba;3026585;21;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Spiraea douglasii;3027159;265;3;0,0113207547169811;1,1;0,0180722891566265;1,81
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Spiraea salicifolia;3026454;9;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Spiraea tomentosa;3026819;21;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Spiraea billardii;7889822;23;0;0;0;0;0
