"","...1","aBS - District 1 (Gent)","aBS - District 2 (Boven-Schelde)","aBS - District 3 (Leie)","aBS - District 4 (Dender, Moervaart)","aBS - District 5 (Kanalen-Oost)","aBS - District 6 (Kanalen-West)","aBS - District 7 (IJzer)","aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme)","aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel)","aZS - District 3 (Netes)","aZS - District 4 (Dijle, Demer, Beneden-Zenne)","aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne)","aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal)","DS_District 1","DS_District 2","DS_District 3","DS_District 4"
"31","Myriophyllum rubricaule","Present",NA,"Present",NA,"Absent",NA,NA,NA,NA,NA,"Absent","Present",NA,NA,"Present",NA,NA
"32","Prunus serotina","Present","Present","Present","Present","Present","Sporadic","Sporadic","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present"
"33","Parthenocissus tricuspidata","Sporadic","Sporadic","Sporadic","Sporadic","Present","Present","Sporadic","Sporadic","Sporadic","Present","Sporadic","Present","Sporadic","Present","Present","Sporadic","Sporadic"
"34","Mahonia aquifolium","Present","Present","Present","Present","Sporadic","Sporadic","Present","Present","Sporadic","Sporadic","Present","Sporadic","Present","Sporadic","Present","Sporadic","Sporadic"
"35","Parthenocissus inserta","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic"
"36","Spiraea douglasii","Sporadic","Present","Sporadic","Sporadic","Sporadic",NA,NA,"Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic"
"37","Reynoutria bohemica","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present",NA,"Sporadic","Sporadic",NA,"Sporadic","Sporadic","Present"
"38","Myriophyllum heterophyllum","Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic",NA,"Sporadic","Sporadic","Present"
"39","Ludwigia grandiflora","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic",NA,"Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Present"
"40","Reynoutria sachalinensis","Sporadic","Sporadic",NA,NA,"Sporadic","Sporadic",NA,"Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic"
"41","Solidago canadensis","Present","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Present","Present","Present","Sporadic","Present"
"42","Myriophyllum aquaticum","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic"
