"usageKey"	"scientificName"	"canonicalName"	"rank"	"status"	"confidence"	"matchType"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"synonym"	"class"	"acceptedUsageKey"	"verbatim_name"	"verbatim_index"
3189866	"Acer negundo L."	"Acer negundo"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Sapindales"	"Sapindaceae"	"Acer"	"Acer negundo"	6	7707728	220	933	6657	3189834	3189866	FALSE	"Magnoliopsida"	NA	"Acer negundo"	1
3190653	"Ailanthus altissima (Mill.) Swingle"	"Ailanthus altissima"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Sapindales"	"Simaroubaceae"	"Ailanthus"	"Ailanthus altissima"	6	7707728	220	933	2395	3190652	3190653	FALSE	"Magnoliopsida"	NA	"Ailanthus altissima"	2
3084923	"Alternanthera philoxeroides (Mart.) Griseb."	"Alternanthera philoxeroides"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Caryophyllales"	"Amaranthaceae"	"Alternanthera"	"Alternanthera philoxeroides"	6	7707728	220	422	3064	3084921	3084923	FALSE	"Magnoliopsida"	NA	"Alternanthera philoxeroides"	3
5328593	"Aponogeton distachyos L.f."	"Aponogeton distachyos"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Aponogetonaceae"	"Aponogeton"	"Aponogeton distachyos"	6	7707728	196	551	7678	7971839	5328593	FALSE	"Liliopsida"	NA	"Aponogeton distachyos"	4
2703041	"Arundo donax L."	"Arundo donax"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Arundo"	"Arundo donax"	6	7707728	196	1369	3073	2703040	2703041	FALSE	"Liliopsida"	NA	"Arundo donax"	5
3170247	"Asclepias syriaca L."	"Asclepias syriaca"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Gentianales"	"Apocynaceae"	"Asclepias"	"Asclepias syriaca"	6	7707728	220	412	6701	3170229	3170247	FALSE	"Magnoliopsida"	NA	"Asclepias syriaca"	6
2650107	"Azolla filiculoides Lam."	"Azolla filiculoides"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Salviniales"	"Salviniaceae"	"Azolla"	"Azolla filiculoides"	6	7707728	7228684	7229405	6629	2650103	2650107	FALSE	"Polypodiopsida"	NA	"Azolla filiculoides"	7
3129663	"Baccharis halimifolia L."	"Baccharis halimifolia"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Asterales"	"Asteraceae"	"Baccharis"	"Baccharis halimifolia"	6	7707728	220	414	3065	3129135	3129663	FALSE	"Magnoliopsida"	NA	"Baccharis halimifolia"	8
2882443	"Cabomba caroliniana A.Gray"	"Cabomba caroliniana"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Nymphaeales"	"Cabombaceae"	"Cabomba"	"Cabomba caroliniana"	6	7707728	220	636	6681	2882440	2882443	FALSE	"Magnoliopsida"	NA	"Cabomba caroliniana"	9
3084841	"Carpobrotus N.E.Br."	"Carpobrotus"	"GENUS"	"ACCEPTED"	94	"HIGHERRANK"	"Plantae"	"Tracheophyta"	"Caryophyllales"	"Aizoaceae"	"Carpobrotus"	NA	6	7707728	220	422	6752	3084841	NA	FALSE	"Magnoliopsida"	NA	"Carpobrotus soorten"	10
