year,eea_cell_code,speciesKey,n,min_coord_uncertainty
2000,1kmE3851N3143,3021850,1,1000
2000,1kmE3852N3118,2889173,1,700
2000,1kmE3852N3118,3034825,1,700
2000,1kmE3852N3118,3039203,1,700
2000,1kmE3852N3141,3021850,1,1000
2000,1kmE3852N3143,3021850,1,1000
2000,1kmE3852N3149,5329212,1,700
2000,1kmE3852N3150,5329212,1,700
2000,1kmE3852N3158,3003979,1,700
2000,1kmE3853N3142,3021850,2,1000
2000,1kmE3853N3148,5329212,1,1000
2000,1kmE3853N3149,2650107,1,700
2000,1kmE3853N3149,5329212,1,700
2000,1kmE3856N3072,2889173,1,707
2000,1kmE3856N3127,5352251,1,700
2000,1kmE3856N3144,2889173,1,700
2000,1kmE3857N3126,3021850,1,700
2000,1kmE3858N3129,2889173,1,700
2000,1kmE3858N3132,3003979,1,700
2000,1kmE3858N3132,3021850,1,700
2000,1kmE3859N3104,3034825,1,700
2000,1kmE3859N3105,3033865,1,700
2000,1kmE3859N3108,3034825,1,700
2000,1kmE3860N3103,5389029,1,700
2000,1kmE3860N3105,3021850,2,700
2000,1kmE3860N3105,3033865,3,700
2000,1kmE3860N3106,2891770,1,700
2000,1kmE3860N3107,3034825,1,700
2000,1kmE3860N3129,2889173,1,700
2000,1kmE3861N3096,5352251,1,700
2000,1kmE3861N3104,2889173,1,700
2000,1kmE3861N3104,5352251,1,700
2000,1kmE3861N3105,2891770,1,700
2000,1kmE3861N3105,3021850,2,700
2000,1kmE3861N3106,3033865,1,700
2000,1kmE3861N3127,2889173,1,700
2000,1kmE3861N3128,2889173,1,700
2000,1kmE3862N3095,3025617,1,700
2000,1kmE3862N3095,3034825,1,700
2000,1kmE3862N3096,2889173,1,700
2000,1kmE3862N3104,2891770,1,700
2000,1kmE3862N3104,3021850,1,700
2000,1kmE3862N3128,2889173,1,700
2000,1kmE3863N3097,3034825,1,700
2000,1kmE3863N3135,3021850,1,700
2000,1kmE3864N3091,2889173,1,700
2000,1kmE3864N3092,3033865,1,700
2000,1kmE3864N3092,3034825,1,700
2000,1kmE3864N3092,3190653,1,700
2000,1kmE3864N3096,2891770,1,700
2000,1kmE3864N3096,3003979,1,700
2000,1kmE3864N3097,2889173,1,700
2000,1kmE3864N3142,5352251,1,700
2000,1kmE3865N3092,3021850,1,700
2000,1kmE3865N3092,5352251,1,700
2000,1kmE3866N3066,5352251,1,707
2000,1kmE3867N3089,2889173,1,700
2000,1kmE3867N3089,2891770,1,700
2000,1kmE3867N3089,3025617,1,700
2000,1kmE3867N3090,3034825,1,700
2000,1kmE3868N3141,2889173,1,700
2000,1kmE3870N3090,2889173,1,700
2000,1kmE3872N3062,3021850,1,707
2000,1kmE3872N3088,3034825,1,700
2000,1kmE3872N3090,3034825,1,700
2000,1kmE3872N3099,3025617,1,700
2000,1kmE3872N3099,3034825,1,700
2000,1kmE3872N3099,5352251,1,700
2000,1kmE3873N3116,3021850,1,700
2000,1kmE3873N3120,3025617,1,700
2000,1kmE3873N3120,5356345,1,700
2000,1kmE3873N3121,3033865,1,700
2000,1kmE3874N3083,5352251,1,707
2000,1kmE3874N3084,3021850,1,1000
2000,1kmE3874N3102,5352251,1,700
2000,1kmE3874N3120,2889173,1,700
2000,1kmE3874N3120,3021850,1,700
2000,1kmE3874N3120,5352251,1,700
2000,1kmE3874N3121,3190538,1,700
2000,1kmE3874N3133,7978544,1,700
