usageKey	scientificName	canonicalName	rank	status	confidence	matchType	kingdom	phylum	order	family	genus	species	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	synonym	class	acceptedUsageKey	verbatim_name	verbatim_index,GBIF_scientific_name
"3172348	""Fraxinus pennsylvanica Marshall""	""Fraxinus pennsylvanica""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Lamiales""	""Oleaceae""	""Fraxinus""	""Fraxinus pennsylvanica""	6	7707728	220	408	6652	3172323	3172348	FALSE	""Magnoliopsida""	NA	""Fraxinus pennsylvanica""	18",incertae sedis
"6063677	""Gymnocoronis spilanthoides DC.""	""Gymnocoronis spilanthoides""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Asterales""	""Asteraceae""	""Gymnocoronis""	""Gymnocoronis spilanthoides""	6	7707728	220	414	3065	3142935	6063677	FALSE	""Magnoliopsida""	NA	""Gymnocoronis spilanthoides""	19",incertae sedis
"3119175	""Helianthus tuberosus L.""	""Helianthus tuberosus""	""SPECIES""	""ACCEPTED""	98	""EXACT""	""Plantae""	""Tracheophyta""	""Asterales""	""Asteraceae""	""Helianthus""	""Helianthus tuberosus""	6	7707728	220	414	3065	3119134	3119175	FALSE	""Magnoliopsida""	NA	""Helianthus tuberosus""	20",incertae sedis
"3119181	""Helianthus ×laetiflorus Pers.""	""Helianthus laetiflorus""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Asterales""	""Asteraceae""	""Helianthus""	""Helianthus laetiflorus""	6	7707728	220	414	3065	3119134	3119181	FALSE	""Magnoliopsida""	NA	""Helianthus x laetiflorus""	21",incertae sedis
"3034825	""Heracleum mantegazzianum Sommier & Levier""	""Heracleum mantegazzianum""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Apiales""	""Apiaceae""	""Heracleum""	""Heracleum mantegazzianum""	6	7707728	220	1351	6720	3034824	3034825	FALSE	""Magnoliopsida""	NA	""Heracleum mantegazzianum""	22",incertae sedis
"5329570	""Hydrilla verticillata (L.f.) Royle""	""Hydrilla verticillata""	""SPECIES""	""ACCEPTED""	98	""EXACT""	""Plantae""	""Tracheophyta""	""Alismatales""	""Hydrocharitaceae""	""Hydrilla""	""Hydrilla verticillata""	6	7707728	196	551	3721	2865997	5329570	FALSE	""Liliopsida""	NA	""Hydrilla verticillata""	23",incertae sedis
"7978544	""Hydrocotyle ranunculoides L.fil.""	""Hydrocotyle ranunculoides""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Apiales""	""Araliaceae""	""Hydrocotyle""	""Hydrocotyle ranunculoides""	6	7707728	220	1351	8800	3034601	7978544	FALSE	""Magnoliopsida""	NA	""Hydrocotyle ranunculoides""	24",incertae sedis
"2891774	""Impatiens capensis Meerb.""	""Impatiens capensis""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Ericales""	""Balsaminaceae""	""Impatiens""	""Impatiens capensis""	6	7707728	220	1353	6699	2891766	2891774	FALSE	""Magnoliopsida""	NA	""Impatiens capensis""	25",incertae sedis
"2891770	""Impatiens glandulifera Royle""	""Impatiens glandulifera""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Ericales""	""Balsaminaceae""	""Impatiens""	""Impatiens glandulifera""	6	7707728	220	1353	6699	2891766	2891770	FALSE	""Magnoliopsida""	NA	""Impatiens glandulifera""	26",incertae sedis
"8848208	""Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal""	""Koenigia polystachya""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Caryophyllales""	""Polygonaceae""	""Koenigia""	""Koenigia polystachya""	6	7707728	220	422	2416	2889050	8848208	FALSE	""Magnoliopsida""	NA	""Koenigia polystachya""	27",incertae sedis
"5356345	""Laburnum anagyroides Medik.""	""Laburnum anagyroides""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Fabales""	""Fabaceae""	""Laburnum""	""Laburnum anagyroides""	6	7707728	220	1370	5386	3234737	5356345	FALSE	""Magnoliopsida""	NA	""Laburnum anagyroides""	28",incertae sedis
"2865565	""Lagarosiphon major (Ridl.) Moss""	""Lagarosiphon major""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Alismatales""	""Hydrocharitaceae""	""Lagarosiphon""	""Lagarosiphon major""	6	7707728	196	551	3721	2865546	2865565	FALSE	""Liliopsida""	NA	""Lagarosiphon major""	29",incertae sedis
"2867614	""Lemna minuta Kunth""	""Lemna minuta""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Alismatales""	""Araceae""	""Lemna""	""Lemna minuta""	6	7707728	196	551	6979	2867567	2867614	FALSE	""Liliopsida""	NA	""Lemna minuta""	30",incertae sedis
