taxonKey,year,em_status,dr_1,dr_2,dr_3,dr_4,key,nameKey,kingdom,kingdomKey,datasetKey,scientificName,canonicalName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,numDescendants,lastCrawled,lastInterpreted,issues,taxonID,species,speciesKey,parentKey,parent
3026819,2020,2,FALSE,TRUE,FALSE,FALSE,220011762,10601715,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Spiraea tomentosa L.,Spiraea tomentosa,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.983+00:00,,dvw-target-list:taxon:b806d04fcdd9a8678bf8399059828b76,Spiraea tomentosa,220011762,220011713,Plantae
3027159,2020,3,FALSE,TRUE,FALSE,TRUE,220011763,10598504,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Spiraea douglasii Hook.,Spiraea douglasii,Hook.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.985+00:00,,dvw-target-list:taxon:968afdfbd15a90c6cda6ebdbcacb5ffc,Spiraea douglasii,220011763,220011713,Plantae
3033865,2020,3,FALSE,TRUE,FALSE,TRUE,220011760,6629163,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Mahonia aquifolium (Pursh) Nutt.,Mahonia aquifolium,(Pursh) Nutt.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.976+00:00,,dvw-target-list:taxon:3bb86d75b63a0ea0a9749eac954bb8d2,Mahonia aquifolium,220011760,220011713,Plantae
3034825,2020,3,FALSE,TRUE,FALSE,TRUE,220011745,5142245,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Heracleum mantegazzianum Sommier & Levier,Heracleum mantegazzianum,Sommier & Levier,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.924+00:00,,dvw-target-list:taxon:af00bafde618b074f09cf3ec149ca9a7,Heracleum mantegazzianum,220011745,220011713,Plantae
3039194,2020,2,FALSE,TRUE,FALSE,FALSE,220011715,8277734,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Parthenocissus quinquefolia (L.) Planch.,Parthenocissus quinquefolia,(L.) Planch.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.778+00:00,,dvw-target-list:taxon:0a8bb964de613d97f4ab9f0be46c4224,Parthenocissus quinquefolia,220011715,220011713,Plantae
3039203,2020,3,FALSE,TRUE,FALSE,TRUE,220011761,8277619,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Parthenocissus inserta (A.Kern.) Fritsch,Parthenocissus inserta,(A.Kern.) Fritsch,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.979+00:00,,dvw-target-list:taxon:c3dccda30162f082620807f6694754dd,Parthenocissus inserta,220011761,220011713,Plantae
3039209,2020,3,FALSE,TRUE,FALSE,TRUE,220011759,8277923,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Parthenocissus tricuspidata,(Siebold & Zucc.) Planch.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.971+00:00,,dvw-target-list:taxon:81cfa4418e9a6eb61ef5d6c0a68d4bb5,Parthenocissus tricuspidata,220011759,220011713,Plantae
3039269,2020,3,FALSE,TRUE,FALSE,TRUE,220011737,3853120,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Elaeagnus angustifolia L.,Elaeagnus angustifolia,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.894+00:00,,dvw-target-list:taxon:6d63efc1daf3d05378d5a2390405c287,Elaeagnus angustifolia,220011737,220011713,Plantae
3119175,2020,3,FALSE,TRUE,FALSE,TRUE,220011743,5054617,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Helianthus tuberosus L.,Helianthus tuberosus,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.917+00:00,,dvw-target-list:taxon:82f573e4ab3329f61e05f1fa318e50dc,Helianthus tuberosus,220011743,220011713,Plantae
3119181,2020,1,FALSE,FALSE,FALSE,FALSE,220011744,5054924,Plantae,220011713,23e95da2-6095-4778-b893-9af18a310cb6,Helianthus ×laetiflorus Pers.,Helianthus laetiflorus,Pers.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,NA,0,2023-12-20T10:04:27.049+00:00,2023-12-20T10:04:28.921+00:00,,dvw-target-list:taxon:960a790bce92ce6132ba77f9c4d258d4,Helianthus laetiflorus,220011744,220011713,Plantae
