species;scientificName;speciesKey;dec_rules_FL;dec_rules_CORE;GAM_FL;GAM_CORE;consensus_FL;consensus_CORE;FL;CORE
Reynoutria bohemica;Reynoutria ×bohemica Chrtek & Chrtková;4038485;2;1;1;1;1;1;onduidelijk;onduidelijk
Rhus typhina;Rhus typhina L.;3190538;3;1;2;0;2;0;potentieel opkomend;niet opkomend
Robinia pseudoacacia;Robinia pseudoacacia L.;5352251;3;1;3;0;3;0;opkomend;niet opkomend
Rosa rugosa;Rosa rugosa Thunb.;3003979;3;1;3;0;3;0;opkomend;niet opkomend
Rubus armeniacus;Rubus armeniacus Focke;2996525;2;1;3;1;3;1;opkomend;onduidelijk
Rudbeckia laciniata;Rudbeckia laciniata L.;3114229;NA;NA;NA;NA;NA;NA;NA;NA
Salvinia molesta;Salvinia ×molesta D.S.Mitch.;5274863;NA;NA;NA;NA;NA;NA;NA;NA
Solidago canadensis;Solidago canadensis L.;5389029;3;1;1;1;1;1;onduidelijk;onduidelijk
Solidago gigantea;Solidago gigantea Aiton;5389017;3;1;3;0;3;0;opkomend;niet opkomend
Spiraea alba;Spiraea alba Du Roi;3026585;NA;NA;NA;NA;NA;NA;NA;NA
Spiraea douglasii;Spiraea douglasii Hook.;3027159;3;1;0;NA;0;1;niet opkomend;onduidelijk
Spiraea salicifolia;Spiraea salicifolia L.;3026454;2;1;2;NA;2;1;potentieel opkomend;onduidelijk
Spiraea tomentosa;Spiraea tomentosa L.;3026819;2;1;2;NA;2;1;potentieel opkomend;onduidelijk
Spiraea billardii;Spiraea ×billardii Hérincq;7889822;1;1;1;NA;1;1;onduidelijk;onduidelijk
