Rhus typhina
Parthenocissus quinquefolia
Prunus laurocerasus
Rosa rugosa
Spiraea alba
Pistia stratiotes
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Arundo donax
Azolla filiculoides
Cabomba caroliniana
Cotoneaster horizontalis
Elaeagnus angustifolia
Elodea canadensis
Elodea nuttallii
Fallopia baldschuanica
Fraxinus pennsylvanica
Helianthus tuberosus
Helianthus laetiflorus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens capensis
Impatiens glandulifera
Koenigia polystachya
Laburnum anagyroides
Lemna minuta
Reynoutria japonica
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Spiraea tomentosa
Spiraea douglasii
Reynoutria bohemica
Myriophyllum heterophyllum
Ludwigia grandiflora
Reynoutria sachalinensis
Spiraea salicifolia
Solidago canadensis
Myriophyllum aquaticum
